District,State,State No,Population,Confirmed,Active,Recovered,Deceased,Aged,Rank Number,Actual Number,Cluster
Fatehgarh Sahib,Punjab,24,600163,2482,35,2336,111,55214.996,1340.566794,198314.506,3
Gadag,Karnataka,13,1064570,10885,37,10707,141,84101.03,1337.710674,110885.011,0
Chamba,Himachal Pradesh,10,519080,2767,196,2519,49,51908,1336.399789,99160.864,0
Balrampur,Uttar Pradesh,30,2148665,2063,79,1951,33,150406.55,1323.969841,192015.74,3
Virudhunagar,Tamil Nadu,27,1942288,16261,94,15939,228,172863.632,1320.895696,192802.751,3
Kalahandi,Odisha,22,1576869,6275,41,6205,29,130880.127,1318.855331,75508.44,3
Ghazipur,Uttar Pradesh,30,3620268,5057,91,4886,80,253418.76,1314.708585,267438.318,3
Jalandhar,Punjab,24,2193590,19669,487,18554,628,201810.28,1312.541192,347933.128,3
Rohtas,Bihar,4,2959918,6657,60,6552,45,198314.506,1307.767966,125958.7,0
Rampur,Uttar Pradesh,30,2335819,5360,89,5220,51,163507.33,1299.804992,138689.196,3
Sawai Madhopur,Rajasthan,25,1335551,2046,183,1838,25,90817.468,1296.777185,111971.72,3
Umaria,Madhya Pradesh,16,644758,1199,33,1150,16,46422.576,1290.778917,76023.12,0
Chikkaballapura,Karnataka,13,1255104,12803,204,12482,116,99153.216,1288.322159,96568.15,0
Alwar,Rajasthan,25,3674179,21154,251,20826,77,249844.172,1279.126571,97422.71,3
Sabarkantha,Gujarat,8,2428589,2719,143,2563,13,170001.23,1276.195221,91613.212,0
Bareilly,Uttar Pradesh,30,4448359,13842,330,13354,158,311385.13,1274.966048,257172.23,3
Meerut,Uttar Pradesh,30,3443689,21335,1016,19896,423,241058.23,1273.790584,300654.393,3
Dhanbad,Jharkhand,12,2684487,7339,51,7186,102,166438.194,1271.953343,180683.686,0
Hardoi,Uttar Pradesh,30,4092845,5766,104,5556,106,286499.15,1271.762613,321671.154,3
Hoshiarpur,Punjab,24,1586625,7617,185,7129,303,145969.5,1261.717419,327715.15,3
Sonitpur,Assam,3,1924110,2548,802,1727,19,119294.82,1246.015847,96509.592,0
Pratapgarh,Rajasthan,25,867848,1164,88,1057,19,59013.664,1223.521894,99977.7,3
Tinsukia,Assam,3,1327929,3366,1526,1798,42,82331.598,1217.715773,105004.564,0
Mansa,Punjab,24,769751,2377,44,2282,51,70817.092,1208.625095,137539.708,3
Thrissur,Kerala,14,3121200,71491,6435,64735,313,330847.2,1205.546714,132668.952,2
Thoubal,Manipur,18,422168,2255,2192,23,40,42216.8,1203.649367,85511.44,0
Sitamarhi,Bihar,4,3423574,4300,135,4151,14,229379.458,1202.686505,84835.656,0
Jhabua,Madhya Pradesh,16,1025048,2284,99,2159,26,73803.456,1189.781549,94061.38,0
Sambalpur,Odisha,22,1041099,9193,180,8937,76,86411.217,1181.680517,83147.34,3
Nainital,Uttarakhand,31,954605,10755,1030,9469,200,84005.24,1179.407056,140994.59,3
Mayurbhanj,Odisha,22,2519738,13790,101,13598,91,209138.254,1175.261453,127864.46,3
Rajnandgaon,Chhattisgarh,6,1537133,17795,1232,16402,161,115284.975,1168.12694,105989.925,0
Uttar Dinajpur,West Bengal,32,3007134,6333,160,6102,71,213506.514,1163.585174,186888.859,3
Datia,Madhya Pradesh,16,786754,1798,51,1727,20,56646.288,1158.494691,77456.55,0
Srikakulam,Andhra Pradesh,1,2703114,45889,163,45380,346,208139.778,1156.598364,141549.84,0
Hassan,Karnataka,13,1776421,27842,262,27187,393,140337.259,1152.02703,163299.825,0
Chandauli,Uttar Pradesh,30,1952756,4621,144,4419,58,136692.92,1134.046712,146492.15,3
Thiruvarur,Tamil Nadu,27,1264277,10844,111,10624,109,112520.653,1131.017209,112520.653,3
Guna,Madhya Pradesh,16,1241519,1410,82,1305,23,89389.368,1121.631442,134109.027,0
Shahdol,Madhya Pradesh,16,1066063,2893,70,2793,30,76756.536,1109.695372,90817.468,0
Barwani,Madhya Pradesh,16,1385881,2648,118,2508,22,99783.432,1108.909218,91640.255,0
Jhalawar,Rajasthan,25,1411129,3313,129,3162,22,95956.772,1103.350198,78215.27,3
Anand,Gujarat,8,2092745,2196,85,2094,17,146492.15,1091.0453,112587.48,0
Aurangabad,Bihar,4,3701282,5083,75,4993,15,247985.894,1089.411607,84101.03,0
Deoghar,Jharkhand,12,1492073,3584,19,3542,23,92508.526,1087.14596,72838.78,0
Kannauj,Uttar Pradesh,30,1656616,3432,41,3344,47,115963.12,1086.54894,142655.751,3
Aurangabad,Maharashtra,17,2540073,47419,1017,45191,1196,226066.497,1086.182539,327147.058,2
Pratapgarh,Uttar Pradesh,30,3209141,5225,181,4978,66,224639.87,1081.160652,217831.01,3
Bundi,Rajasthan,25,1110906,2763,259,2487,17,75541.608,1080.558549,56810.736,3
Dewas,Madhya Pradesh,16,1563715,2683,105,2552,26,112587.48,1079.027316,111139.812,0
Katni,Madhya Pradesh,16,1292042,2080,57,2006,17,93027.024,1066.449008,85754.6,0
Mandi,Himachal Pradesh,10,999777,9397,1076,8206,115,99977.7,1064.487273,119015.596,0
Kamrup,Assam,3,1517542,4590,2482,2074,34,94087.604,1052.379406,81647.104,0
Bharatpur,Rajasthan,25,2548462,8890,176,8596,118,173295.416,1047.973775,180524.498,3
Chitradurga,Karnataka,13,1659456,14171,176,13927,68,131097.024,1046.614423,77299.95,0
Imphal East,Manipur,18,456113,5366,5146,150,70,45611.3,1046.228036,73313.78,0
