District,State,State No,Population,Confirmed,Active,Recovered,Deceased,Aged
Dhenkanal,Odisha,22,1192811,5688,12,5648,28,99003.313
Navsari,Gujarat,8,1329672,1555,23,1524,8,93077.04
Madhepura,Bihar,4,2001762,4777,39,4721,17,134118.054
Bhadrak,Odisha,22,1506337,7377,30,7319,28,125025.971
Perambalur,Tamil Nadu,27,565223,2253,2,2230,21,50304.847
Churachandpur,Manipur,18,274143,1404,1322,58,24,27414.3
Mahoba,Uttar Pradesh,30,875958,1442,41,1390,11,61317.06
Bundi,Rajasthan,25,1110906,2763,259,2487,17,75541.608
Sirmaur,Himachal Pradesh,10,529855,3117,188,2902,27,52985.5
Supaul,Bihar,4,2229076,5549,39,5493,17,149348.092
Gopalganj,Bihar,4,2562012,5698,81,5602,15,171654.804
Dhemaji,Assam,3,686133,765,317,440,8,42540.246
Rewari,Haryana,9,900332,11249,205,10971,73,68425.232
Khagaria,Bihar,4,1666886,3049,29,3008,12,111681.362
Palwal,Haryana,9,1042708,4333,34,4275,24,79245.808
Surendranagar,Gujarat,8,1756268,3387,223,3152,12,122938.76
Hamirpur,Uttar Pradesh,30,454768,1551,19,1511,21,31833.76
Pithoragarh,Uttarakhand,31,483439,3060,353,2676,31,42542.632
Chitrakoot,Uttar Pradesh,30,991730,2121,48,2060,13,69421.1
Rayagada,Odisha,22,967911,8355,22,8289,44,80336.613
Jorhat,Assam,3,1092256,8771,6965,1752,54,67719.872
Gautam Buddha Nagar,Uttar Pradesh,30,1648115,24716,542,24085,89,115368.05
Jashpur,Chhattisgarh,6,851669,3229,271,2937,21,63875.175
Almora,Uttarakhand,31,622506,3021,317,2598,22,54780.528
Gajapati,Odisha,22,577817,3975,12,3930,33,47958.811
Bishnupur,Manipur,18,237399,1261,1182,58,21,23739.9
Sahibganj,Jharkhand,12,1150567,1629,24,1596,9,71335.154
Godda,Jharkhand,12,1313551,2069,9,2050,10,81440.162
Kendrapara,Odisha,22,1440361,8948,124,8795,29,119549.963
Anuppur,Madhya Pradesh,16,749237,1979,17,1948,14,53945.064
Jamui,Bihar,4,1760405,3132,27,3095,10,117947.135
Chandel,Manipur,18,144182,348,335,4,9,14418.2
Ramgarh,Jharkhand,12,949443,4406,70,4309,27,58865.466
Garhwa,Jharkhand,12,1322784,2781,37,2732,12,82012.608
Bandipora,Jammu and Kashmir,11,392232,4623,79,4485,59,27456.24
Katihar,Bihar,4,3071029,7136,121,7003,12,205758.943
Kishanganj,Bihar,4,1690400,4256,116,4127,13,113256.8
Kandhamal,Odisha,22,733110,5921,7,5881,33,60848.13
South Tripura,Tripura,29,876001,4041,28,3987,23,58692.067
Tapi,Gujarat,8,807022,1021,14,1001,6,56491.54
Jehanabad,Bihar,4,1125313,4405,99,4287,19,75395.971
Bilaspur,Himachal Pradesh,10,381956,2779,236,2519,23,38195.6
Samba,Jammu and Kashmir,11,318898,2708,241,2429,38,22322.86
Bilaspur,Chhattisgarh,6,381956,17417,303,16927,187,28646.7
West Garo Hills,Meghalaya,19,643291,1704,21,1667,16,32164.55
Punch,Jammu and Kashmir,11,476835,2437,30,2385,22,33378.45
Panna,Madhya Pradesh,16,1016520,1003,41,958,4,73189.44
Wayanad,Kerala,14,817420,15565,2529,12987,48,86646.52
Malkangiri,Odisha,22,613192,5218,22,5169,27,50894.936
Nabarangapur,Odisha,22,1220946,5792,34,5743,15,101338.518
Karaikal,Puducherry,23,200222,3744,45,3638,61,16017.76
North Tripura,Tripura,29,693947,2751,29,2700,15,46494.449
Bageshwar,Uttarakhand,31,259898,1458,151,1291,16,22871.024
Porbandar,Gujarat,8,585449,686,8,674,4,40981.43
Koraput,Odisha,22,1379647,7848,48,7784,16,114510.701
Kamrup Metropolitan,Assam,3,1253938,50003,34484,15370,149,77744.156
Saharsa,Bihar,4,1900661,6675,61,6602,12,127344.287
Arwal,Bihar,4,700843,2269,37,2221,11,46956.481
Subarnapur,Odisha,22,610183,4683,1,4661,21,50645.189
Tehri Garhwal,Uttarakhand,31,618931,4053,278,3650,16,54465.928
Pathanamthitta,Kerala,14,1197412,27512,4782,22682,46,126925.672
Bongaigaon,Assam,3,738804,1303,463,834,6,45805.848
Mahendragarh,Haryana,9,922088,6557,57,6481,19,70078.688
Ganderbal,Jammu and Kashmir,11,297446,4441,108,4290,43,20821.22
Ramban,Jammu and Kashmir,11,283713,2083,36,2026,21,19859.91
Reasi,Jammu and Kashmir,11,314667,1615,65,1536,14,22026.69
Nuapada,Odisha,22,610382,7246,86,7134,26,50661.706
Hailakandi,Assam,3,659296,1632,509,1116,7,40876.352
Sheikhpura,Bihar,4,636342,2971,6,2953,12,42634.914
Jharsuguda,Odisha,22,579505,7413,71,7316,26,48098.915
Lakhisarai,Bihar,4,1000912,3663,108,3546,9,67061.104
Lohardaga,Jharkhand,12,461790,1761,35,1716,10,28630.98
Jamtara,Jharkhand,12,791042,1240,13,1223,4,49044.604
Dimapur,Nagaland,21,378811,6385,111,6152,50,18940.55
Chamoli,Uttarakhand,31,391605,3330,229,3029,14,34461.24
Latehar,Jharkhand,12,726978,1867,12,1849,6,45072.636
Dhalai,Tripura,29,378230,3463,12,3431,19,25341.41
Bijapur,Chhattisgarh,6,255230,3969,30,3911,28,19142.25
Kishtwar,Jammu and Kashmir,11,230696,2714,56,2637,21,16148.72
Idukki,Kerala,14,1108974,15557,2985,12554,16,117551.244
Gumla,Jharkhand,12,1025213,2247,33,2210,4,63563.206
Dima Hasao,Assam,3,214102,237,36,199,2,13274.324
West Khasi Hills,Meghalaya,19,383461,173,5,167,1,19173.05
Champawat,Uttarakhand,31,259648,1661,190,1392,8,22849.024
Uttarkashi,Uttarakhand,31,330086,3498,274,3126,13,29047.568
Kinnaur,Himachal Pradesh,10,84121,1292,62,1214,16,8412.1
Senapati,Manipur,18,479148,471,449,21,1,47914.8
Rudraprayag,Uttarakhand,31,242285,2166,115,2035,10,21321.08
Yanam,Puducherry,23,55626,2092,8,2039,45,4450.08
Kiphire,Nagaland,21,74004,39,4,34,1,3700.2
Simdega,Jharkhand,12,599578,2008,12,1991,5,37173.836
Khunti,Jharkhand,12,531885,2104,26,2073,5,32976.87
Kohima,Nagaland,21,267988,3703,117,3536,21,13399.4
Ukhrul,Manipur,18,183998,534,514,18,2,18399.8
Aizawl,Mizoram,20,400309,2726,62,2657,7,22417.304
Mokokchung,Nagaland,21,194622,172,47,118,1,9731.1
Dindori,Madhya Pradesh,16,704524,942,21,920,1,50725.728
Tamenglong,Manipur,18,140651,1322,1285,32,5,14065.1
East Garo Hills,Meghalaya,19,317917,338,4,333,1,15895.85
Mon,Nagaland,21,250260,603,13,579,2,12513
Tuensang,Nagaland,21,196596,244,3,240,1,9829.8
South Garo Hills,Meghalaya,19,142334,198,2,195,1,7116.7
Sheohar,Bihar,4,656246,1422,37,1384,1,43968.482
Changlang,Arunachal Pradesh,2,148226,1272,3,1265,4,7411.3
East Sikkim,Sikkim,26,283583,1477,368,1106,3,11343.32
Narmada,Gujarat,8,590297,1908,59,1848,1,41320.79
Serchhip,Mizoram,20,64937,176,4,171,1,3636.472
Tirap,Arunachal Pradesh,2,111975,586,5,579,2,5598.75
Upper Subansiri,Arunachal Pradesh,2,83448,441,1,438,2,4172.4
West Kameng,Arunachal Pradesh,2,83947,916,10,902,4,4197.35
East Siang,Arunachal Pradesh,2,99214,1120,18,1098,4,4960.7
West Siang,Arunachal Pradesh,2,112274,1029,4,1022,3,5613.7
Mahe,Puducherry,23,41816,1717,123,1586,8,3345.28
Narayanpur,Chhattisgarh,6,139820,1912,43,1867,2,10486.5
Tawang,Arunachal Pradesh,2,49977,465,40,423,2,2498.85
