District,State,Population,Sex-Ratio,Confirmed,Active,Recovered,Deceased,Death Rate,age frac,Rank Number,Actual Number
Samastipur,Bihar,"4,261,566",911,5148,71,5043,34,0.006604507,0.067,1885.751346,285524.922
Kollam,Kerala,"2,635,375",1113,56436,3779,52433,211,0.003738748,0.106,1044.418319,279349.75
Jalpaiguri,West Bengal,"3,872,846",953,14150,437,13558,155,0.010954064,0.071,3012.061609,274972.066
Tirunelveli,Tamil Nadu,"3,077,233",1023,15205,128,14866,211,0.013877014,0.089,3800.549683,273873.737
Madurai,Tamil Nadu,"3,038,252",990,20392,223,19719,450,0.022067477,0.089,5967.143496,270404.428
Kannur,Kerala,"2,523,003",1136,38243,3469,34578,188,0.004915932,0.106,1314.708585,267438.318
Satara,Maharashtra,"3,003,741",988,54111,855,51507,1739,0.032137643,0.089,8591.450877,267332.949
Bilaspur,Himachal Pradesh,"2,663,629",971,2779,236,2519,23,0.008276358,0.1,2204.514718,266362.9
Rajkot,Gujarat,"3,804,558",927,19589,1347,18054,188,0.009597223,0.07,2555.923408,266319.06
Sultanpur,Uttar Pradesh,"3,797,117",983,4724,259,4390,75,0.015876376,0.07,4219.912005,265798.19
Saran,Bihar,"3,951,862",954,7002,250,6700,52,0.00742645,0.067,1966.336472,264774.754
Darbhanga,Bihar,"3,937,385",911,4007,37,3938,32,0.007986024,0.067,2106.751424,263804.795
Prakasam,Andhra Pradesh,"3,397,448",981,61970,155,61237,578,0.009327094,0.077,2440.000398,261603.496
Bijnor,Uttar Pradesh,"3,682,713",917,4225,129,4038,58,0.013727811,0.07,3538.891162,257789.91
Budaun,Uttar Pradesh,"3,681,896",871,3814,94,3675,45,0.011798637,0.07,3040.894806,257732.72
Varanasi,Uttar Pradesh,"3,676,841",913,22114,696,20993,425,0.019218595,0.07,4946.460264,257378.87
Aligarh,Uttar Pradesh,"3,673,889",882,11094,175,10864,55,0.004957635,0.07,1274.966048,257172.23
Amravati,Maharashtra,"2,888,445",951,19596,445,18771,378,0.019289651,0.089,4958.821542,257071.605
